Num.Decisions Good Bad Demi Unknown
44938 17873 19203 7835 27
56624 22049 24713 9838 24
50041 19625 22100 8289 27
43648 17212 18609 7804 23
52249 21004 22757 8450 38
54545 21538 23358 9612 37
46062 18363 19366 8320 13
47474 18455 19645 9337 37
50798 20571 21208 8977 42
59760 23556 25922 10234 48
44195 16722 18867 8574 32
50278 19687 22363 8193 35
39503 15256 16763 7455 29
52348 20574 22777 8959 38
46127 17670 19563 8869 25
59061 24162 24605 10261 33
15790 7210 5159 3388 33
16099 7603 5011 3447 38
18315 8591 5972 3665 87
29029 13851 9769 5349 60
17829 8166 6067 3553 43
18303 8458 6279 3536 30
18410 8685 6065 3598 62
15855 7511 4993 3304 47
17880 8655 5684 3511 30
13610 6460 4135 2984 31
15518 7529 4672 3261 56
20806 9601 7121 4004 80
16153 7451 5088 3565 49
13443 6060 4351 3003 29
16539 7571 5724 3196 48
14965 7058 4934 2921 52
63724 18780 28422 16460 62
58375 16978 26374 14954 69
69389 21180 32422 15705 82
51079 14568 22101 14345 65
53900 15192 23933 14712 63
58170 17701 25743 14650 76
65506 19749 29988 15680 89
65556 19299 29938 16246 73
65440 18895 29835 16648 62
79957 23166 36762 19924 105
61662 18400 28406 14786 70
71474 21971 33411 16005 87
75828 23151 35871 16716 90
64655 19406 29610 15574 65
65281 19064 29130 17002 85
51451 14792 22350 14250 59
63050 20703 29716 12598 33
61975 20063 28556 13319 37
59410 19728 26593 13072 17
46334 15498 21412 9401 23
60993 20065 28269 12633 26
60760 19189 28548 12987 36
50789 16647 22770 11345 27
52047 16889 23815 11299 44
54208 18115 24263 11787 43
65985 20741 29958 15237 49
70181 22783 33478 13877 43
56163 18484 26041 11616 22
61986 20536 28130 13292 28
58984 19294 27596 12078 16
57011 18759 25869 12365 18
55271 17900 25951 11399 21
45035 18619 18044 8335 37
47720 19352 19659 8678 31
41955 17385 17868 6684 18
44951 18724 18563 7634 30
44193 18140 17979 8053 21
44557 18089 17255 9173 40
34902 14282 14078 6512 30
50245 20868 20632 8721 24
44809 18722 17686 8372 29
44350 18720 17237 8368 25
42083 17266 17191 7596 30
40297 16458 16890 6921 28
34288 13834 13551 6872 31
34194 14066 13102 6993 33
43296 17542 17273 8454 27
32091 13004 12496 6581 10
52534 17146 23911 11454 23
50864 17242 22534 11068 20
50781 17723 23378 9658 22
62768 20677 28941 13125 25
41823 13988 18744 9072 19
56234 18473 25696 12041 24
52637 17969 24258 10382 28
44901 14434 19589 10849 29
54108 17776 24287 12008 37
55135 18629 24554 11923 29
54303 17900 24402 11984 17
61104 21539 28115 11436 14
49262 16392 21542 11302 26
63799 21860 29533 12381 25
54802 17827 24267 12693 15
55185 18374 24951 11840 20
105622 32094 54341 18890 297
105155 31346 53048 20455 306
91331 27742 46222 17092 275
139292 44872 71391 22695 334
109531 34187 56044 19063 237
135706 42480 69122 23764 340
116615 36011 58768 21494 342
121809 37343 62481 21650 335
100206 30654 50783 18525 244
124625 40127 64300 19884 314
118387 36724 60139 21195 329
114535 35940 57259 21030 306
121217 37205 61425 22242 345
112491 35074 57114 19995 308
97826 30918 49507 17131 270
120929 37222 60933 22416 358
57368 20584 25644 11125 15
60533 20766 26568 13171 28
58710 20979 26316 11397 18
53633 19530 23969 10117 17
65692 23413 29615 12639 25
53196 18581 23210 11382 23
50361 17959 21961 10425 16
52549 18773 24208 9549 19
54208 19006 24537 10647 18
57438 20177 25851 11389 21
63094 22900 28284 11891 19
58967 20273 26446 12225 23
47015 16056 20560 10379 20
57173 20035 25790 11323 25
38009 12791 16653 8550 15
62503 21679 28382 12416 26
